"lakename","year4","daynum","sampledate","depth","depth_id","DIC_mg","doc","absorbance","tpc"
"Peter Lake",1990,191,1990-07-10,"Metalimnion",-2,NA,4.48,NA,0.6
"Peter Lake",1990,191,1990-07-10,"Epilimnion",-1,NA,5.01,NA,0.48
"Tuesday Lake",1990,192,1990-07-11,"Metalimnion",-2,NA,9.22,NA,0.86
"Tuesday Lake",1990,192,1990-07-11,"Epilimnion",-1,NA,8.74,NA,0.74
"East Long Lake",1990,194,1990-07-13,"Epilimnion",-1,NA,7.65,NA,0.87
"West Long Lake",1990,194,1990-07-13,"Epilimnion",-1,NA,7.66,NA,0.71
"Paul Lake",1990,197,1990-07-16,"Metalimnion",-2,NA,4.22,NA,1.14
"Paul Lake",1990,197,1990-07-16,"Epilimnion",-1,NA,4.75,NA,0.66
"Peter Lake",1990,198,1990-07-17,"Metalimnion",-2,NA,4.59,NA,0.67
"Peter Lake",1990,198,1990-07-17,"Epilimnion",-1,NA,4.88,NA,0.52
"Tuesday Lake",1990,199,1990-07-18,"Metalimnion",-2,NA,9.58,NA,0.94
"Tuesday Lake",1990,199,1990-07-18,"Epilimnion",-1,NA,8.66,NA,0.72
"Paul Lake",1990,204,1990-07-23,"Metalimnion",-2,NA,4.07,NA,1.15
"Paul Lake",1990,204,1990-07-23,"Epilimnion",-1,NA,4.78,NA,0.62
"Peter Lake",1990,205,1990-07-24,"Metalimnion",-2,NA,4.9,NA,0.63
"Peter Lake",1990,205,1990-07-24,"Epilimnion",-1,NA,3.67,NA,0.5
"Tuesday Lake",1990,206,1990-07-25,"Metalimnion",-2,NA,9.54,NA,0.93
"Tuesday Lake",1990,206,1990-07-25,"Epilimnion",-1,NA,8.82,NA,0.77
"East Long Lake",1990,208,1990-07-27,"Epilimnion",-1,NA,7.77,NA,0.89
"West Long Lake",1990,208,1990-07-27,"Epilimnion",-1,NA,7.73,NA,0.86
"Paul Lake",1990,211,1990-07-30,"Metalimnion",-2,NA,4.15,NA,0.86
"Paul Lake",1990,211,1990-07-30,"Epilimnion",-1,NA,4.84,NA,0.55
"Peter Lake",1990,212,1990-07-31,"Metalimnion",-2,NA,4.4,NA,0.7
"Peter Lake",1990,212,1990-07-31,"Epilimnion",-1,NA,4.66,NA,0.65
"Tuesday Lake",1990,213,1990-08-01,"Metalimnion",-2,NA,9.12,NA,0.9
"Tuesday Lake",1990,213,1990-08-01,"Epilimnion",-1,NA,8.86,NA,0.76
"Paul Lake",1990,218,1990-08-06,"Metalimnion",-2,NA,4.37,NA,0.79
